gameId,gameDate,gameType,gameMap,hero,winner,talents
53059458,04/18/2024 10:52:44 pm,Storm League,Garden of Terror,Muradin,True,"[""Dwarf Block"",""Sledgehammer"",""Skullcracker"",""Avatar"",""Thunder Strike"",""Stoneform"",""Rewind""]"
53207736,04/29/2024 3:22:52 pm,Storm League,Battlefield of Eternity,Lunara,False,"[""Natural Perspective"",""Nature's Culling"",""Wild Vigor"",""Thornwood Vine"",""Greater Spell Shield"",""Invigorating Spores"",""Intensifying Toxin""]"
53201919,04/28/2024 10:25:32 pm,Storm League,Volskaya Foundry,Lt. Morales,False,"[""Life Support"",""Trauma Trigger"",""Vanadium Plating"",""Stim Drone"",""Bedside Manner"",""First Responder"",""Hyperactivity""]"
53269837,05/03/2024 2:22:56 pm,Storm League,Volskaya Foundry,Leoric,True,"[""Fealty Unto Death"",""Ghastly Reach"",""Drain Momentum"",""Entomb"",""Spectral Leech"",""Mithril Mace""]"
53268907,05/03/2024 10:18:27 am,Storm League,Infernal Shrines,Leoric,True,"[""Fealty Unto Death"",""Kneel, Peasants!"",""Drain Momentum"",""Entomb"",""Spectral Leech"",""Mithril Mace"",""Buried Alive""]"
53337737,05/08/2024 3:29:27 pm,Storm League,Battlefield of Eternity,Johanna,True,"[""Laws of Hope"",""Subdue"",""Conviction"",""Blessed Shield"",""Blessed Hammer"",""Blessed Momentum"",""Indestructible""]"
53272911,05/03/2024 10:38:33 pm,Storm League,Towers of Doom,Johanna,False,"[""Divine Fortress"",""Subdue"",""Steed Charge"",""Blessed Shield"",""Blessed Hammer"",""Blessed Momentum"",""Indestructible""]"
53269372,05/03/2024 1:31:16 pm,Storm League,Garden of Terror,Johanna,True,"[""Laws of Hope"",""Subdue"",""Conviction"",""Blessed Shield"",""Blessed Hammer"",""Blessed Momentum"",""Indestructible""]"
53269330,05/03/2024 1:09:55 pm,Storm League,Garden of Terror,Johanna,True,"[""Laws of Hope"",""Subdue"",""Conviction"",""Blessed Shield"",""Blessed Hammer"",""Holy Renewal"",""Indestructible""]"
53203118,04/28/2024 11:30:48 pm,Storm League,Sky Temple,Johanna,False,"[""Divine Fortress"",""Subdue"",""Conviction"",""Blessed Shield"",""Roar"",""Holy Renewal"",""Indestructible""]"
